Empresa,RUT,Origen,Segmento,num_hijos,num_padres,num_trabajadores,score_v0,vertical_v0,pain_v0,reasoning_v0,score_v1,vertical_v1,pain_v1,reasoning_v1,score_v2,vertical_v2,pain_v2,reasoning_v2,pts_tamaño,pts_holding,pts_trabajadores,pts_regulacion,pts_proveedores
ESSBIO S.A.,76833300-9,Cliente,Utilities / Infraestructura,2,1,1092,67,utilities,Verificación de proveedores en cadena de suministro de agua potable y saneamiento,"ESSBIO es empresa de servicios básicos (agua) sujeta a regulación SISS (+30). Gran empresa con tramo ventas 13 sugiere volumen significativo de proveedores y contratistas (+20 estimado). Sector utilities tiene obligaciones de KYB en cadena de suministro. Sin señal reciente identificada ni información de competencia actual (-0). Score moderado-alto por regulación clara y tamaño, pero sin urgencia inmediata.",72,utilities,"Gestión de riesgos en la cadena de proveedores de servicios críticos de agua potable y tratamiento de residuos, con obligaciones regulatorias de SISS","ESSBIO es empresa de servicios sanitarios regulada por SISS (captación, tratamiento y distribución de agua) → +30 pts regulación. Como gran empresa SII tramo 13, estimamos 50-200 proveedores típicos en este sector (constructores, químicos, mantenimiento) → +15 pts proveedores. Sin señales de licitación, multas o M&A recientes → 0 pts señal. Sin información sobre herramientas de compliance competitivas → 0 pts competencia.",83,Utilities/Infraestructura,Gestión de riesgos en cadena de suministro compleja de proveedores críticos para servicios de agua potable y tratamiento.,"ESSBIO es una empresa de captación, tratamiento y distribución de agua, clasificada en Utilities/Infraestructura. Con 1.092 trabajadores es una gran empresa (20 puntos) que opera servicios esenciales regulados por la Superintendencia de Servicios Sanitarios (SSS), lo que justifica 15 puntos en regulación. Por su tamaño, complejidad operacional y necesidad de mantener infraestructura crítica, probablemente gestiona más de 200 proveedores (25 puntos). No hay señal externa reportada (0 puntos). El pain point principal es la debida diligencia exhaustiva en proveedores que impactan servicios sanitarios esenciales.",20,8,10,15,25
X CAPITAL SPA,77078244-9,Cliente,Financiero,0,1,516,52,financiero,Verificación de contrapartes y cumplimiento normativo CMF en servicios financieros,"Empresa de servicios financieros con regulación compliance obligatoria (CMF) otorga +30. Tramo ventas 12 (mediana empresa) suma +12. Sin información de volumen de proveedores se asigna +5 conservador. Sin señal reciente detectada (0). Sin dato sobre competencia actual, se asume posible uso de soluciones (-5). Score base: 30+12+5+0-5=42, ajustado a 52 por actividad financiera directa con obligaciones KYB regulatorias claras.",76,financiero,Verificación y debida diligencia de contrapartes financieras para cumplir obligaciones regulatorias de la CMF,"X Capital SPA es una empresa de servicios financieros (CIIU específico de intermediación financiera). Regulacion: 40 puntos porque está regulada por CMF con obligación de verificar contrapartes. Proveedores: 12 puntos asumiendo entre 50-200 proveedores (rango típico para gran empresa financiera). Señal: 0 puntos sin información de licitaciones, multas, M&A o nueva regulación. Competencia: 0 puntos por desconocimiento de herramientas utilizadas.",61,Financiero,Gestión y debida diligencia de proveedores financieros y contrapartes de riesgo en operaciones de capital e inversión.,"X CAPITAL SPA opera en 'Otras actividades de servicios financieros' con 516 trabajadores (gran empresa). El nombre 'CAPITAL' y el giro indican actividades de intermediación, gestión de inversiones o servicios financieros especializados. Como empresa financiera en Chile, está regulada por la CMF (Comisión para el Mercado Financiero), otorgando 15 puntos. Con 516 trabajadores y operaciones financieras, se estima una cartera de 50-200 proveedores (bancos, tecnología, legal, compliance), asignando 15 puntos. No hay señal externa explícita (N/A). El pain point es crítico: empresas financieras requieren debida diligencia exhaustiva de proveedores y contrapartes para cumplir normativa CMF y gestionar riesgos de reputación.",20,0,8,15,15
TECK RESOURCES CHILE LIMITADA,78127000-8,Cliente,Mining / Energía,3,2,463,52,mining,Verificación de proveedores en operaciones mineras sin automatización regulatoria,"Empresa de apoyo minero en región metropolitana. Cumple regulación Sernageomin (+30). Tamaño mediano por tramo 13 SII (+12). Sector minería típicamente maneja 50-200 proveedores (+15). Sin señal de urgencia (-5 por ausencia). Score moderado-alto por obligación compliance específica del sector, pero sin indicadores de dolor inmediato o conversión alta.",68,mining,Gestión de riesgos en cadena de suministro de proveedores mineros y evaluación de cumplimiento regulatorio de contratistas en operaciones de apoyo a explotación minera,"Segmento Mining/Energía: (1) Regulación=30 pts: empresa regulada por Sernageomin como prestadora de servicios de apoyo para explotación minera, obligada a verificar contratistas; (2) Proveedores=15 pts: estimado 50-200 proveedores típicos en empresas de servicios mineros de gran tamaño; (3) Señal=0 pts: sin información de licitaciones, multas, M&A o nuevas regulaciones; (4) Competencia=0 pts: desconocido si usa herramientas de compliance especializadas",85,Mining/Energía,"Gestionar la debida diligencia de una red extensa de proveedores y contratistas en operaciones mineras, asegurando cumplimiento regulatorio y mitigación de riesgos operacionales y legales.","La empresa Teck Resources es una minera internacional con operaciones en Chile. Su giro explícitamente menciona 'actividades de apoyo para la explotación de minas', confirmando su clasificación en Mining/Energía. Está regulada por Sernageomin como operador minero, lo que suma 15 puntos. Dada su tamaño (463 trabajadores, gran empresa), estructura corporativa (3 empresas hijas, 2 padres) y naturaleza de operaciones mineras, probablemente maneja >200 proveedores especializados (contratistas, servicios técnicos, logística), sumando 25 puntos. Sin señal externa reportada (N/A), suma 0 puntos.",20,15,5,15,25
MAGOTTEAUX ANDINO S.A.,78803130-0,Cliente,Mining / Energía,1,1,212,42,manufactura,Verificación de proveedores en cadena de suministro industrial compleja,"Empresa manufacturera de tamaño mediano (tramo 13) sin regulación compliance obligatoria directa (-0). No es sector regulado (financiero, energía, minería, utilities). Industria siderúrgica típicamente maneja 50-200 proveedores (+15). Tamaño mediano estimado +12. Sin señales de urgencia inmediata identificadas (+0). Sin información de competidores actuales (+0). Score moderado: buena oportunidad de venta pero sin presión regulatoria inmediata que acelere decisión de compra.",44,manufactura,"Gestión de riesgos en cadena de suministro de proveedores de acero y componentes industriales, asegurando compliance normativo y evaluación de contrapartes en operaciones B2B de alto volumen.","Magotteaux Andino es una gran empresa manufacturera (industrias básicas de hierro y acero) que no aparece como regulada por organismos específicos (CMF, Sernageomin, SEC, CNE, SISS). Se asignan +20 puntos en proveedores (rango 50-200 proveedores típicos en manufactura de este tamaño). Señal en 0 por ausencia de información de licitaciones, multas, M&A o regulación nueva. Competencia en 0 al desconocer su actual metodología de due diligence. Segment es Manufactura por su naturaleza industrial.",73,Mining/Energía,"Gestión y debida diligencia de una cadena compleja de proveedores de materias primas, insumos industriales y servicios especializados en la industria siderúrgica, con exposición a riesgos regulatorios y de cumplimiento normativo.","Magotteaux Andino opera en 'Industrias Básicas de Hierro y Acero', sector claramente asociado a Mining/Energía. Como gran empresa (212 trabajadores) en manufactura industrial pesada, probablemente está regulada por Sernageomin y otras entidades ambientales/laborales (15 puntos). Una empresa de este tamaño e industria típicamente maneja >200 proveedores dada la complejidad operativa (25 puntos). Sin señal externa reportada (0 puntos). El pain point principal es la evaluación de proveedores en una cadena de suministro crítica y regulada.",20,3,5,15,25
BLUMAR S.A.,80860400-0,Cliente,Manufactura / Retail,15,1,1128,32,manufactura,Verificación de proveedores en cadena de suministro marítimo compleja,"Empresa grande (Tramo 13) en pesca industrial con probable volumen medio-alto de proveedores (+15). Sin embargo, industria carece de regulación compliance obligatoria específica como financiero/energía/minería (+0). No hay señales de eventos urgentes (+0). Sector manufactura/recursos naturales con potencial moderado pero sin drivers regulatorios fuertes que generen urgencia inmediata de soluciones KYB.",72,otro,Evaluación de riesgos de proveedores y colaboradores en cadena de suministro pesquera con alta exposición a regulaciones ambientales y laborales internacionales,"Blumar es empresa de pesca industrial regulada por múltiples autoridades (SERNAPESCA, SEC, etc.) por lo que asigna 30 puntos en regulación. En proveedores se estima rango 50-200 (eslabones de logística, procesamiento, distribución) asignando 15 puntos. No hay señales de M&A, licitaciones o multas recientes registradas (0 puntos). Sin información de competencia en herramientas específicas, se asigna 0. Clasificado como 'otro' por ser sector primario especializado no cubierto en verticales predefinidas, con necesidades críticas de KYB en cadena de valor.",90,Manufactura Retail,Gestión y evaluación de riesgos de proveedores en cadena de suministro compleja con múltiples eslabones y regulaciones pesqueras,"BLUMAR es una empresa de pesca industrial, clasificada en 'Manufactura Retail' por ser procesadora/productora de recursos naturales con cadena de distribución. Está regulada por Sernageomin y normativas pesqueras (15 puntos regulación). Con 1.128 trabajadores y 15 empresas hijas, requiere >200 proveedores considerando operaciones de flota, insumos, logística y distribución (25 puntos proveedores). No hay señal externa reportada (0 puntos señal). El dolor principal es evaluar proveedores en un ecosistema regulado y de alto riesgo operacional.",20,15,10,15,25
DP WORLD CHILE S.A,82777100-7,Cliente,Utilities / Infraestructura,8,53,89,42,manufactura,Verificación de proveedores y contrapartes en cadena logística portuaria,"DP World es operador portuario gran empresa (tramo 12 ventas). Cumple: tamaño empresa (+20), volumen proveedores alto en logística (+25). No cumple: sin regulación compliance obligatoria específica como CMF/minería (-0), sin señal reciente (-0). Sector transporte acuático no tiene regulador compliance designado. Score base 45 ajustado por potencial de proveedores pero baja urgencia regulatoria actual.",39,otro,Gestión de riesgos en la cadena de proveedores portuarios y evaluación de contrapartes en operaciones logísticas internacionales de alto volumen,"DP World es operador portuario global sin regulación específica de SISS/SEC. Como empresa de servicios portuarios de gran tamaño, típicamente mantiene entre 50-200 proveedores (contratistas, operadores, transportistas), asignando +15 puntos. Sin señales de licitación, M&A o multas recientes registradas (+0). Competencia desconocida (+0). Clasificado en 'Otro' ya que no encaja en segmentos específicos (Financiero, Mining, Utilities, Manufactura).",83,Utilities/Infraestructura,Gestión y evaluación de riesgos de múltiples proveedores logísticos y portuarios en una cadena de suministro compleja,"DP World es operador portuario global liderando operaciones de transporte acuático. Se clasifica en Utilities/Infraestructura por su rol crítico en infraestructura logística. Está regulada por autoridades marítimas/portuarias (probablemente DNM y entes fiscalizadores equivalentes a CMF en contexto portuario) = 15 puntos. Con 89 trabajadores y 8 empresas hijas, típicamente maneja >200 proveedores (operadores, logística, servicios portuarios, mantenimiento) = 25 puntos. No hay señal externa = 0 puntos.",20,15,3,15,25
SOC ANONIMA VINA SANTA RITA,86547900-K,Cliente,Manufactura / Retail,5,0,1466,32,manufactura,Verificación de proveedores en cadena de suministro agroindustrial compleja,"Empresa mediana (tramo 13) en elaboración de vinos. No tiene regulación compliance obligatoria específica como financiero/minería/utilities (+0). Industria agroindustrial típicamente maneja 50-200 proveedores (viñedos, distribuidores, logística) (+15). Tamaño mediano (+12). Sin señal reciente identificada (+0). Sin información de competidores actuales (+0). Score bajo debido a ausencia de obligación regulatoria directa, principal barrera de conversión en sector vitivinícola.",44,manufactura,Gestión de riesgos en cadena de suministro de proveedores agrícolas y de distribución; cumplimiento normativo en exportación de vinos; debida diligencia en clientes internacionales,"Viña Santa Rita es una gran empresa manufacturera en elaboración de vinos. No regulada por organismos específicos que requieran compliance obligatorio (reg=0). Estimado 50-200 proveedores (viticultura, logística, insumos) por lo que asigna +20. Sin señales de licitación, multa, M&A o nueva regulación (señal=0). Competencia en herramientas de compliance desconocida (competencia=0).",90,Manufactura Retail,"Gestión de proveedores en cadena de suministro compleja de insumos agrícolas, químicos y de envasado; cumplimiento regulatorio en sector vitivinícola con múltiples normativas sanitarias y de exportación.","Clasificada como Manufactura Retail por ser empresa productora de vinos (manufactura). Recibe 15 puntos en regulación porque el sector vitivinícola está regulado por SAG (sanitaria) y potencialmente por organismos de control de calidad de bebidas alcohólicas. Recibe 25 puntos en proveedores: con 1,466 trabajadores y 5 empresas hijas, es una gran empresa que requiere múltiples proveedores de uvas, químicos, botellas, etiquetas, cajas y servicios logísticos (>200 proveedores estimado). Sin señal externa reportada (N/A).",20,15,10,15,25
TOYOTA CHILE S A,86740500-3,Cliente,Manufactura / Retail,0,1,182,32,manufactura,Verificación de proveedores y distribuidores en cadena automotriz compleja,"Toyota Chile es gran empresa (Tramo 13, +20) en sector manufactura/distribución automotriz. No tiene regulación compliance obligatoria específica como financiero/energía (-30). Industria automotriz maneja volumen medio-alto de proveedores y distribuidores (+15). Sin señales de eventos urgentes (licitaciones, multas, M&A). Sector no es prioritario para KYB regulatorio, aunque gestión de proveedores es operacional. Score moderado por tamaño corporativo pero bajo potencial de urgencia regulatoria.",83,manufactura,"Evaluación y gestión de riesgos en cadena de suministro de proveedores de autopartes, logística y servicios; cumplimiento normativo en compras B2B y detección de contrapartes con antecedentes legales o financieros adversos","TOYOTA CHILE es distribuidor mayorista de vehículos, clasificada en Manufactura/Retail por su naturaleza de venta al por mayor y gran escala operativa. Regulación: 20 puntos (sector regulado por normativas de comercio automotor y financiamiento vehicular). Proveedores: 35 puntos (como gran distribuidor nacional, gestiona >200 proveedores de autopartes, logística, financiamiento y servicios). Señal: 0 puntos (sin indicadores de licitaciones, multas significativas, M&A o nueva regulación aplicable en período reciente). Competencia: 0 puntos (sin información de uso de herramientas de compliance de terceros, desconocido si utiliza Regcheq/LexisNexis/KPMG).",53,Manufactura Retail,"Gestión de debida diligencia en una cadena compleja de proveedores de componentes automotrices, logística y servicios relacionados con distribución de vehículos.","Toyota Chile es distribuidor mayorista de vehículos automotores. Se clasifica en 'Manufactura Retail' por su naturaleza de comercialización masiva de productos manufacturados. Con 182 trabajadores (gran empresa) y como distribuidor oficial, probablemente maneja más de 200 proveedores (componentes, servicios logísticos, repuestos, financiamiento). No está regulada por CMF, Sernageomin, SEC o CNE específicamente, sino por regulaciones de tránsito y comercio general. No hay señal externa reportada (N/A). La evaluación de proveedores es crítica en este sector por volumen, criticidad de componentes y estándares de calidad automotriz.",20,0,3,0,25
ENAEX S A,90266000-3,Cliente,Manufactura / Retail,5,1,453,62,manufactura,Verificación de proveedores en industria regulada con riesgos de seguridad y compliance,ENAEX es fabricante de explosivos con regulación sectorial obligatoria (Sernageomin) que requiere trazabilidad de cadena de suministro (+30). Gran empresa (Tramo 13 = ventas >100MM UF) con probable volumen medio-alto de proveedores en manufactura especializada (+20). No hay señal reciente explícita (-0). Sin información de competidores actuales (+0). Sector de alto riesgo regulatorio donde compliance de contrapartes es crítico para operaciones.,83,manufactura,"Gestión de riesgos regulatorios y de cumplimiento en la cadena de proveedores de insumos químicos y explosivos, donde existe alta exposición a regulaciones de seguridad, trazabilidad y legitimidad de contrapartes.","ENAEX es clasificada en Manufactura por su giro de fabricación de explosivos y productos pirotécnicos. Regulación: +20 puntos (industria altamente regulada por normativas de seguridad, manipulación de explosivos y permisos especiales). Proveedores: +20 puntos (estimado 50-200 proveedores, típico en manufactura especializada con cadena de suministro moderada). Señal: +15 puntos (potencial de multas/licitaciones públicas dado que proveedores de explosivos suelen estar en contratos regulados y cumplimiento normativo). Competencia: 0 puntos (sin información de herramientas de compliance conocidas en uso, se asume desconocido).",85,Mining/Energía,"Gestión de proveedores y cadena de suministro en industria de alto riesgo regulatorio, con necesidad crítica de debida diligencia para cumplir normativas de seguridad y explosivos.","ENAEX es fabricante de explosivos y productos pirotécnicos, sector estratégico que cae dentro de Mining/Energía dado su uso principal en minería y construcción. La empresa está regulada por Sernageomin (autoridad minera que supervisa explosivos) otorgando 15 puntos. Con 453 trabajadores (gran empresa), estructura corporativa compleja (5 filiales, 1 matriz) y operaciones en industria altamente regulada, se estima >200 proveedores (25 puntos). No hay señal externa registrada (0 puntos). El pain point crítico es la debida diligencia de proveedores en sector de alto riesgo donde el cumplimiento regulatorio es mandatorio.",20,15,5,15,25
CRISTALERIAS DE CHILE S A,90331000-6,Cliente,Manufactura / Retail,7,0,1139,32,manufactura,Verificación de proveedores en cadena de suministro de vidrio y materiales,"Empresa manufacturera sin regulación compliance obligatoria (-30 puntos). Tamaño mediano (Tramo 13 SII) suma +12. Industria de fabricación típicamente maneja entre 50-200 proveedores (+15). Sin señal reciente de urgencia. Sin información de competidores actuales (+0). Total: 12+15+5 = 32. Lead de interés moderado para KYB preventivo, pero sin presión regulatoria inmediata.",44,manufactura,"Gestión de riesgo en cadena de suministro de proveedores de materias primas y componentes para fabricación de vidrio, con necesidad de debida diligencia en proveedores intermedios (50-200 estimados)","Clasificada como Manufactura por su giro de fabricación de productos de vidrio. Regulación: 0 puntos (no regulada por organismos específicos del segmento). Proveedores: +20 puntos (rango estimado 50-200 proveedores típico en manufactura de vidrio con cadena de suministro moderada). Señal: 0 puntos (sin información de licitaciones, multas, M&A o regulación nueva). Competencia: 0 puntos (sin información sobre herramientas de compliance utilizadas, se asume desconocido).",65,Manufactura Retail,"Gestión y evaluación de riesgo de proveedores de materias primas y componentes para manufactura de vidrio, considerando la complejidad de la cadena de suministro industrial.","Se clasifica como Manufactura Retail porque CRISTALERIAS DE CHILE es una empresa manufacturera de productos de vidrio (N.C.P.) con 1.139 trabajadores y 7 empresas hijas, operando a escala industrial. No está regulada por CMF, Sernageomin, SEC o CNE específicamente. Con 1.139 empleados y estructura corporativa múltiple, se estima entre 50-200 proveedores (puntuación 15), típico de manufactureras de este tamaño que requieren insumos diversos. Sin señal externa reportada (N/A = 0 puntos). El pain_point identifica la necesidad de evaluar y monitorear proveedores críticos en cadenas de suministro complejas, área donde Plutto puede aportar valor.",20,15,10,0,15
FALABELLA S.A.,90749000-9,Cliente,Manufactura / Retail,5,9,441,37,manufactura,Gestión de compliance en cadena de suministro con cientos de proveedores internacionales y locales,"Falabella es gran empresa (Tramo 13) con alto volumen de proveedores (+25). Sin embargo, retail no tiene regulación compliance obligatoria (-0), no hay señal de urgencia inmediata (-0), y probablemente ya utiliza soluciones de verificación empresarial (-10). Score moderado refleja tamaño atractivo pero bajo fit vertical para Plutto.",61,manufactura,"Gestión del riesgo de proveedores y contrapartes en una cadena de suministro masiva para retail; detección de riesgos de fraude, sanciones y cumplimiento normativo en miles de proveedores y colaboradores","Falabella es una gran empresa del sector Retail (venta de vestuario y productos para el hogar). Se clasifica en vertical Manufactura/Retail. Regulación: 0 puntos (retail no está regulado por organismo específico con obligación de verificar contrapartes). Proveedores: +35 puntos (como gran retailer con operaciones masivas, se estima >200 proveedores directos e indirectos en su cadena de suministro). Señal: 0 puntos (no hay evidencia de licitación, multa, M&A o nueva regulación aplicable en los datos proporcionados). Competencia: 0 puntos (desconocido si utiliza herramientas de compliance especializadas).",70,Manufactura Retail,"Gestión y evaluación de riesgos en una cadena de proveedores masiva (>200) distribuida globalmente, considerando que Falabella opera múltiples formatos retail (tiendas de vestuario y hogar) con miles de SKUs que requieren debida diligencia continua.","Falabella es una gran empresa retail (441 trabajadores, tramo 13) con estructura corporativa compleja (5 empresas hijas, 9 padres). Se clasifica en Manufactura Retail por ser operador retail integrado de vestuario y productos para hogar. No está bajo regulación directa de CMF/Sernageomin/SEC/CNE (0 puntos). Dada su escala como empresa retail multinacional, probablemente maneja >200 proveedores entre textiles, logística y manufactura de productos para el hogar (25 puntos). Sin señal externa reportada (0 puntos). El pain point principal es la evaluación continua de riesgos en cadenas de suministro complejas y globales.",20,15,5,0,25
CEMENTO POLPAICO S A,91337000-7,Cliente,Manufactura / Retail,8,1,608,42,manufactura,Verificación de proveedores en cadena de suministro compleja sin regulación obligatoria,"Empresa grande (tramo 13) en manufactura sin obligación compliance regulatoria (-30 puntos). No hay señal de urgencia identificada. Industria de cemento típicamente maneja volumen moderado-alto de proveedores (+15). Tamaño empresa gran (+20). Sin información sobre competencia existente, se asume uso potencial (-10). Lead viable pero no prioritario: pain point existe pero sin drivers regulatorios que aceleren compra.",67,manufactura,"Gestión de riesgos en cadena de suministro de proveedores de materias primas y servicios especializados en manufactura de cemento, cal y yeso; cumplimiento regulatorio ambiental y laboral en operaciones de gran escala.","Segmento Manufactura: Polpaico es fabricante de cemento (manufactura clara). Regulación: +20 porque está regulada por normas ambientales (DS 40/2012, DS 43/2017) y laborales. Proveedores: +20 (rango 50-200) - gran empresa manufacturera con cadena de suministro moderada pero especializada. Señal: 0 (sin información de licitación, multa, M&A o nueva regulación específica). Competencia: 0 (desconocido si usa herramientas de compliance, sin señal de uso de Regcheq/LexisNexis/KPMG).",88,Manufactura Retail,"Gestión y evaluación de riesgos de una amplia cadena de proveedores de materias primas y componentes para la producción de cemento, cal y yeso","CEMENTO POLPAICO es una empresa manufacturera dedicada a la fabricación de cemento, cal y yeso. Se clasifica en 'Manufactura Retail' por su naturaleza de producción industrial y distribución. Está regulada por Sernageomin (autoridad minera que supervisa la industria cementera y extractiva en Chile), lo que suma 15 puntos. Como gran empresa (608 trabajadores) con 8 empresas filiales, requiere >200 proveedores para insumos, logística y servicios especializados (25 puntos). No hay señal externa reportada (0 puntos). El pain point clave es la debida diligencia en la evaluación de múltiples proveedores considerando riesgos regulatorios y de compliance.",20,15,8,15,25
